data,valor
,ZC=F
2020-01-02,391.5
2020-01-03,386.5
2020-01-06,384.75
2020-01-07,384.5
2020-01-08,384.25
2020-01-09,383.25
2020-01-10,385.75
2020-01-13,389.5
2020-01-14,389.0
2020-01-15,387.5
2020-01-16,375.5
2020-01-17,389.25
2020-01-21,387.5
2020-01-22,388.75
2020-01-23,393.75
2020-01-24,387.25
2020-01-27,380.5
2020-01-28,386.5
2020-01-29,384.25
2020-01-30,379.5
2020-01-31,381.25
2020-02-03,378.75
2020-02-04,382.25
2020-02-05,380.75
2020-02-06,379.25
2020-02-07,383.5
2020-02-10,381.75
2020-02-11,379.75
2020-02-12,383.0
2020-02-13,379.5
2020-02-14,377.75
2020-02-18,383.0
2020-02-19,380.5
2020-02-20,378.5
2020-02-21,377.0
2020-02-24,372.25
2020-02-25,372.5
2020-02-26,370.5
2020-02-27,364.5
2020-02-28,366.5
2020-03-02,374.75
2020-03-03,381.75
2020-03-04,387.0
2020-03-05,384.5
2020-03-06,377.25
2020-03-09,374.25
2020-03-10,380.0
2020-03-11,379.25
2020-03-12,369.75
2020-03-13,370.75
2020-03-16,354.75
2020-03-17,344.0
2020-03-18,335.25
2020-03-19,345.5
2020-03-20,343.75
2020-03-23,343.5
2020-03-24,347.25
2020-03-25,348.5
2020-03-26,348.75
2020-03-27,346.0
2020-03-30,341.25
2020-03-31,340.75
2020-04-01,334.75
2020-04-02,333.5
2020-04-03,330.75
2020-04-06,327.75
2020-04-07,331.5
2020-04-08,330.0
2020-04-09,331.75
2020-04-13,331.5
2020-04-14,326.0
2020-04-15,319.25
2020-04-16,319.75
2020-04-17,322.25
2020-04-20,314.25
2020-04-21,309.25
2020-04-22,317.5
2020-04-23,319.25
2020-04-24,315.75
2020-04-27,305.5
2020-04-28,302.75
2020-04-29,304.5
2020-04-30,311.5
2020-05-01,311.5
2020-05-04,310.75
2020-05-05,313.0
2020-05-06,311.75
2020-05-07,316.0
2020-05-08,319.0
2020-05-11,318.5
2020-05-12,323.75
2020-05-13,320.25
2020-05-14,320.25
2020-05-15,319.25
2020-05-18,320.75
2020-05-19,321.25
2020-05-20,319.5
2020-05-21,317.75
2020-05-22,318.0
2020-05-26,319.0
2020-05-27,320.5
2020-05-28,327.5
2020-05-29,325.75
2020-06-01,323.25
2020-06-02,324.25
2020-06-03,324.0
2020-06-04,329.0
2020-06-05,331.25
2020-06-08,333.75
2020-06-09,327.5
