Price,Close,High,Low,Open,Volume
Ticker,ZS=F,ZS=F,ZS=F,ZS=F,ZS=F
Date,,,,,
2020-01-02,944.25,949.0,941.75,943.25,2217
2020-01-03,930.5,945.25,926.75,944.5,2272
2020-01-06,932.75,936.25,929.0,929.25,1524
2020-01-07,935.0,935.0,928.75,933.5,866
2020-01-08,938.25,940.0,935.75,936.25,576
2020-01-09,933.75,943.25,931.0,943.25,345
2020-01-10,935.0,935.5,927.5,931.5,203
2020-01-13,929.25,938.5,929.25,938.5,82
2020-01-14,928.5,934.75,928.5,929.0,84463
2020-01-15,928.75,943.25,928.25,942.0,119742
2020-01-16,924.0,930.25,922.0,929.75,101998
2020-01-17,929.75,933.5,920.0,924.5,90936
2020-01-21,916.0,931.5,915.25,930.0,119955
2020-01-22,913.75,922.0,913.25,917.0,92153
2020-01-23,909.5,914.75,904.0,914.0,98543
2020-01-24,902.0,909.25,900.75,909.25,77349
2020-01-27,897.25,900.0,888.25,899.25,107839
2020-01-28,895.0,898.0,888.5,897.5,86749
2020-01-29,893.0,903.0,890.75,896.0,77353
2020-01-30,876.25,893.75,875.5,893.5,123089
2020-01-31,872.5,882.75,872.25,880.0,88324
2020-02-03,877.0,878.75,868.75,870.75,138975
2020-02-04,879.5,887.0,873.75,876.25,102451
2020-02-05,880.0,888.0,878.0,880.0,75259
2020-02-06,881.0,886.25,876.75,880.0,110541
2020-02-07,882.0,884.75,876.25,883.25,124917
2020-02-10,884.25,889.75,879.5,883.0,145123
2020-02-11,884.75,889.0,878.0,885.75,134299
2020-02-12,892.5,893.0,881.5,885.5,163370
2020-02-13,896.25,899.75,888.5,891.0,193428
2020-02-14,893.75,899.25,890.0,896.25,130575
2020-02-18,892.25,898.5,889.25,894.75,133199
2020-02-19,897.25,898.25,885.0,892.25,142100
2020-02-20,892.75,898.0,891.25,896.5,99285
2020-02-21,890.5,902.0,887.5,892.0,139963
2020-02-24,874.25,888.5,870.75,888.0,91246
2020-02-25,879.0,880.75,873.25,875.5,56793
2020-02-26,881.0,888.25,875.5,879.5,86864
2020-02-27,886.25,887.75,866.75,880.5,67399
2020-02-28,883.5,887.25,874.5,886.25,11811
2020-03-02,890.5,895.0,883.75,883.75,4084
2020-03-03,893.0,895.5,889.25,891.25,3011
2020-03-04,898.75,900.75,897.25,898.5,657
2020-03-05,889.0,896.5,889.0,896.5,291
2020-03-06,883.25,892.0,882.0,890.75,406
2020-03-09,863.5,871.75,861.75,865.0,223
2020-03-10,873.0,879.5,871.5,874.25,380
2020-03-11,867.75,878.5,867.75,876.25,228
2020-03-12,855.0,871.25,853.75,871.25,8
2020-03-13,846.75,846.75,846.75,846.75,157825
2020-03-16,821.75,854.75,821.0,842.0,162521
2020-03-17,824.25,832.5,822.0,824.75,124052
2020-03-18,825.5,838.5,822.25,824.5,131550
2020-03-19,843.25,855.75,825.0,829.25,146051
2020-03-20,862.5,864.75,845.5,845.75,123550
2020-03-23,884.0,885.25,858.25,860.0,137562
2020-03-24,886.75,887.75,872.5,884.0,101830
2020-03-25,881.5,897.0,880.5,885.0,101240
2020-03-26,880.25,884.5,871.25,882.5,92600
2020-03-27,881.5,888.75,875.25,879.0,85866
2020-03-30,882.25,892.5,876.75,880.0,75012
2020-03-31,886.0,887.5,875.75,882.5,100917
2020-04-01,862.75,887.25,860.75,885.75,91934
2020-04-02,858.75,870.0,857.0,864.75,89450
2020-04-03,854.25,864.5,850.5,859.75,83592
2020-04-06,855.5,859.0,848.5,853.5,68720
2020-04-07,854.75,862.25,854.25,856.0,86188
2020-04-08,854.5,860.5,851.75,855.75,79057
2020-04-09,863.5,867.0,853.75,855.5,105524
2020-04-13,854.25,870.0,850.5,864.0,89265
2020-04-14,847.0,856.5,845.75,854.75,102334
2020-04-15,842.0,852.5,838.75,847.5,111556
2020-04-16,836.75,846.75,835.25,840.75,64484
2020-04-17,832.5,842.75,831.75,839.25,56944
2020-04-20,826.5,835.75,824.5,833.5,52383
2020-04-21,830.75,833.5,808.25,826.0,85886
2020-04-22,834.75,839.0,827.0,831.25,79892
2020-04-23,839.25,848.75,833.75,834.75,67541
2020-04-24,832.25,843.75,827.5,840.0,68404
2020-04-27,829.0,838.75,827.25,831.25,60072
2020-04-28,826.0,835.5,822.5,829.5,63296
2020-04-29,831.75,835.0,824.75,825.5,32364
2020-04-30,850.25,851.0,833.75,833.75,5384
2020-05-01,847.25,850.75,842.75,849.75,2586
2020-05-04,834.0,843.5,831.0,843.5,675
2020-05-05,838.25,838.25,832.5,833.25,543
2020-05-06,830.5,838.25,829.5,838.25,319
2020-05-07,841.5,845.25,831.0,834.25,456
2020-05-08,848.75,856.25,842.0,842.0,404
2020-05-11,852.25,857.0,851.5,857.0,155
2020-05-12,849.25,854.75,847.5,852.75,60
2020-05-13,836.0,842.25,836.0,841.75,40
